QCM;Question 1;1;Les types de base;3274;2; ;false;Réponse 2,false|Réponse 1,true|
QCM;Question 2;2;Les types de base;3274;4; ;false;Réponse 2,false|Réponse 1,true|
QCM;Question 3;3;Les types de base;3274;5; ;true;Réponse 2,true|Réponse 1,false|
QCM;Question 4;4;Les types de base;3274;8; ;false;Réponse 2,false|Réponse 1,true|
QCM;Question 5;1;Les types de base;3274;1; ;true;Réponse 2,true|Réponse 1,false|

QCM;Question SousClasse1;1;Les sous-classe;3274;543543; ;true;Réponse 2,false|Réponse 1,true|
QCM;Question SousClasse2;1;Les sous-classe;3274;543543; ;false;Réponse 2,false|Réponse 1,true|
QCM;Question SousClasse3;2;Les sous-classe;3274;543543; ;true;Réponse 2,ftruealse|Réponse 1,true|
QCM;Question SousClasse4;2;Les sous-classe;3274;543543; ;false;Réponse 2,false|Réponse 1,true|
QCM;Question SousClasse5;2;Les sous-classe;3274;543543; ;true;Réponse 2,false|Réponse 1,true|

QCM;Tableau 1;3;Tableau a deux dimension;3274;543543; ;false;Réponse 2,false|Réponse 1,true|
QCM;Tableau 2;3;Tableau a deux dimension;3274;543543; ;true;Réponse 2,false|Réponse 1,true|
QCM;Tableau 3;4;Tableau a deux dimension;3274;543543; ;true;Réponse 2,false|Réponse 1,true|
QCM;Tableau 4;4;Tableau a deux dimension;3274;543543; ;true;Réponse 2,false|Réponse 1,true|
QCM;Tableau 5;4;Tableau a deux dimension;3274;543543; ;false;Réponse 2,false|Réponse 1,true|
